id,state,name,address_line1,address_line2,city,district,pin_code
3299,Tamil Nadu,"VELUMAILU SIDDHA MEDICAL COLLEGE (Inst. Code - 194), KANCHEEPURAM","No.48, GWT Road, Sriperumbudur - 602105",NA,Sriperumbudur,Kancheepuram,600105
3300,Tamil Nadu,Venkatesvara College of Education,Aranthangi Road,Kaikkurichi,Pudukkottai,Pudukkottai,622303
3301,Tamil Nadu,VENKATESVARA TECHER TRAINING INSTITUTE THIRUMAIRAYASAMUTHIRAM,Aranthagi Road,Kaikurichi,Pudukkottai,Pudukkottai,622303
3302,Tamil Nadu,"VENKATESWARA HOMOEOPATHIC MEDICAL COLLEGE (Inst. Code - 205), CHENNAI","No.4/11, Samayapuram Main Road,","Karambakkam, Porur,",chennai,Chennai,600116
3303,Tamil Nadu,"VENKATESWARA NURSING COLLEGE (Inst. Code - 238), CHENNAI","Off OMR, Near Navalur,","Thalambur,",Chennai,Kancheepuram,600130
3304,Tamil Nadu,VENKATESWARA POLYTECHNIC COLLEGE KAIKKURICHI,ARANTHANGI ROAD,KAIKURICHI,PUDUKKOTTAI,Pudukkottai,622303
3305,Tamil Nadu,"VENKATESWARA SCHOOL OF NURSING, THANJAVUR","Kumbakonam-Chennai Main Road, Anaikkarai 612 502.",NA,NA,Thanjavur,612502
3306,Tamil Nadu,"VENKATRAMANA POLYTECHNIC COLLEGE, KARUR","VENKATAPURAM,45A VELLIYANAI SOUTH VILLAGE","VELLIYANAI,KARUR",KARUR,Karur,639118
3307,Tamil Nadu,Vestley College of Education,ARANTHANGI,ARANTHANGI,ARANTHANGI,Pudukkottai,614616
3308,Tamil Nadu,VESTLEY INSTITUTE OF DIPLOMA IN TEACHER EDUCATION ARANTHANGI,KOOTHADIVAYAL,ARANTHANGI,ARANTHANGI 614 616,Pudukkottai,614616
3309,Tamil Nadu,VESTLEY TEACHER TRAINING INSTITUTE FOR WOMEN ARANTHANGI,KUNNAKURMBI,KUNNAKURMBI,ARANTHANGI,Pudukkottai,614616
3310,Tamil Nadu,"Veterinary College and Research Institute, Namakkal",Sanyasikaradu Post,Namakkal,Salem,Namakkal,637001
3311,Tamil Nadu,"Veterinary College and Research Institute, Orathanad",Keelathottam,Orathanadu,Orathanadu,Thanjavur,614625
3312,Tamil Nadu,"Veterinary College and Research Institute, Tirunelveli","Sripuram, S.N. High Road",Tirunelveli,Tirunelveli,Tirunelveli,627012
3313,Tamil Nadu,VETHATHIRI MAHARISHI INSTITUTE OF TECHNOLOGY KODIVALASAI ATHIMANJERI PET,KODIVALASA VILLAGE,PALLIPET POST,ATHIMANJERIPET,Thiruvallur,631202
3314,Tamil Nadu,Vetri Vinayaha College of Engineering and Technology,"VETRI CAMPUS,NAMAKKAL-TRICHY MAIN ROAD","THOLURPATTI (P.O), THOTTIAM (T.K) - 621 215",TIRUCHIRAPPALLI,Tiruchirappalli,621215
3315,Tamil Nadu,VETRI VINAYAHA POLYTECHNIC COLLEGE THOTTIAM,"NAMAKKAL-TRICHY MAIN ROAD, THOLURPATTI POST",THOTTIAM 621 215,TIRUCHIRAPPALLI,Tiruchirappalli,621215
3316,Tamil Nadu,Vettri Vel College of Education,"Jalakandapuram main road, Tharamangalam","Omalur (TK), Salem (DT)",Salem 636502,Salem,636502
3317,Tamil Nadu,VGM HOSPITAL INSTITUTE OF GASTROENTEROLOGY ( Inst. Code - 438),"NO . 2100 , TRICHY ROAD ,",(RAJALAKSHMI MILLS STOP ),COIMBATORE,Coimbatore,641005
3318,Tamil Nadu,Vi Institute of Technology,"Sirunkundram, Chengalpattu To Thiruporur Highway",Thiruporur TK,Chennai,Kancheepuram,603108
3319,Tamil Nadu,"Vickram College of Engineering, Madurai Sivagangai Road, Enathi",Sreenivasa Gardens,"Madurai Sivagangai Road, Enathi",Sivagangai - 630 561,Sivaganga,630561
3320,Tamil Nadu,VICKRAM POLYTECHNIC COLLEGE ENATHI,SREENIVASA GARDENS,MADURAI - SIVAGANGAI ROAD,ENATHI,Sivaganga,630561
3321,Tamil Nadu,Vickram Teacher Training College,Sreenivasa Gardens,Madurai-Sivagangai Rd,"Enathi,sivagangai-630561",Sivaganga,630561
3322,Tamil Nadu,Victory College of Education,Kambiliampatty,Kambiliampatty,Dindigul,Dindigul,624306
3323,Tamil Nadu,VICTORY TEACHER TRAINING INSTITUTE SRIPERUMBUDUR,POLLIVAKKAM,THIRUVALLUR,THIRUVALLUR,Thiruvallur,602002
3324,Tamil Nadu,Vidayaa Vikas College of Education,"S.F. No.131, Varahoorampatti Village",Koottappalli Post,Tiruchengode - 637 214.,Namakkal,637214
3325,Tamil Nadu,"VIDHYA MANDHIR INSTITUTE OF TECHNOLOGY, ERODE",Perundurai - Chennimalai State Highway,"Ingur, Perundurai Taluk",Erode,Erode,638052
3326,Tamil Nadu,Vidhya Sagar Women's College of Education,Vedanarayanapuram,Chengalpattu,Chengalpattu,Kancheepuram,603111
3327,Tamil Nadu,VIDHYA SAGAR WOMENS COLLEGE,G.S.T Road,Vedhanarayanapuram,Chengalpattu,Chennai,603111
3328,Tamil Nadu,VIDHYA SAGAR WOMENS TEACHER TRAINING INSTITUTE CHENGALPATTU,G.S.T Road,"Vedanarayanapuram, Chengalpattu",Chengalpattu,Kancheepuram,603111
3329,Tamil Nadu,Vidhya Vikas Plus The Institute of Education,Udumbiam (Po),NA,Veppanthattai,Perambalur,621116
3330,Tamil Nadu,VIDHYA VIKAS TEACHER TRAINING INSTITUTE TIRUCHENGODE,VARAHOORAMPATTI VILLAGE,KOOTTAPALLI POST,TIRUCHENGODE,Namakkal,637214
3331,Tamil Nadu,Vidhyaa Arts & Science College,KONGANAPURAM,IDAPPADI-TK,SALEM,Salem,637102
3332,Tamil Nadu,VIDYA VIHAR TEACHER TRAINING INSTITUTE AMBUR,"PUDU GOVINDAPURAM, KKS PANNAI","MC ROAD, AMBUR",VELLORE,Vellore,635802
3333,Tamil Nadu,VIDYA VIKAS PLUS TEACHER TRAINING INSTITUTE UDUMBIAM,ATTUR MAIN ROAD,"UDUMBIAM, VENGANOOR POST",VEPPANTHATTAI TALUK,Perambalur,621116
3334,Tamil Nadu,Vidyaa Vikas College of Engineering and Technology,Varahoorampatti Village,Koottappalli Post,Tiruchengode Taluk,Namakkal,637214
3335,Tamil Nadu,Vidyalaya College of Education,TINDIVANAM SALAI,SIRUNATHUR POST & VILLAGE,TIRUVANNAMALAI,Tiruvannamalai,604601
3336,Tamil Nadu,Vidyasagar College of Arts and Science,Post Box No : 9,Pollachi Road,Udumalpet,Tiruppur,642126
3337,Tamil Nadu,Vignesh College of Education,Melputhiyandal,Nallavanpalayam Post,Tiruvannamalai,Tiruvannamalai,606603
3338,Tamil Nadu,"VIGNESH NURSING COLLEGE (Inst. Code - 297), TIRUVANNAMALAI","No. Manalurpet Road,","Kizhanaikarai,",Tiruvannamalai,Tiruvannamalai,606603
3339,Tamil Nadu,VIGNESH POLYTECHNIC COLLEGE KIZHKACHIRAPET,Melputhiyandal,Tiruvannamalai,Tiruvannamalai,Tiruvannamalai,606603
3340,Tamil Nadu,"VIGNESHWARA POLYTECHNIC COLLEGE CHIDAMBARAM, CUDDALORE",CUDDALORE - CHIDAMBARAM ECR HIGHWAY,"KEEZHPOOVANIKUPPAM,",ALAPAKKAM,Cuddalore,608801
3341,Tamil Nadu,VIGNESHWARA TEACHER TRAINING INSTITUTE BODINAYAKANUR,vigneshwara Teacher Training Institute,Subburaj Nagar,Bodinayakanur,Theni,625513
3342,Tamil Nadu,Vijay College of Education,Mallavadi,Thurinjapuram - 606 805,Tiruvannamalai,Tiruvannamalai,606805
3343,Tamil Nadu,"Vijay Institute of Management, Dindigul","NH7 Madurai Road, Panjampatty post",Kallikampatti Village,Dindigul,Madurai,624303
3344,Tamil Nadu,VIJAY TEACHER TRAINING INSTITUTE THURINJAPURAM,"Mallavadi ,Tiruvannamalai Dt",thurinjapuram,Tiruvannamalai,Tiruvannamalai,606805
3345,Tamil Nadu,VIJAYA EDUCATIONAL ACADEMY (Inst. Code - 441),"New No. 323, OLD No. 175, N.S.K. SALAI",VADAPALANI,CHENNAI,Chennai,600026
3346,Tamil Nadu,"VIJAYA SCHOOL OF NURSING, CHENNAI","New No. 323, OLD No. 175, N.S.K. SALAI",VADAPALANI,CHENNAI,Chennai,600026
